SpatialDimValueCode,Location,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
MAR,Morocco,,,,,,,,,,,,,,,5.31,,,5.86,,6.48,,,,6.32,9.14,,,7.31,,,,
AFG,Afghanistan,,,,,,,,,,,,1.9,,,,,1.6,1.74,1.74,2.13,2.37,2.52,2.41,2.85,2.98,2.85,2.78,2.41,2.97,2.13,2.54,
AGO,Angola,,,,,,,,0.59,,,,,,,0.62,,,,,1.31,,,,,,,,2.15,2.14,,,
ALB,Albania,13.74,14.61,16.22,14.13,13.45,13.63,13.81,13.89,13.9,,13.82,13.1,11.7,11.86,11.91,,11.84,11.95,,12.3,12.35,12.22,12.68,12.77,,,12.16,,21.58,16.47,18.75,
AND,Andorra,,,,,,22.38,,24.57,25.27,,25.69,26,29,33.33,31.32,32.32,30.12,30.11,,31.48,,,,,,33.33,,,,,,
ARE,United Arab Emirates,,,,,,,,,,,18.02,19.83,20.03,20.76,19.18,15.19,13.3,14.05,16.41,15.18,14.2,14.37,14.77,17.41,19.95,22.11,23.71,24.36,25.28,26.01,,
ARG,Argentina,,,26.48,,,,,,30.17,,,32.48,,,31.86,,,,,,,,,39.39,,39.9,40.01,39.9,,40.69,40.6,
ARM,Armenia,,,,,,,,,,,27.01,26.19,25.63,24.56,24.6,25.64,25.9,26.72,27.43,27.68,28.42,28.68,28.97,29.03,28.93,29.14,,44.02,,,,
ATG,Antigua and Barbuda,,,,,,,,,,1.61,,,,,,,,17.14,5.27,,,,,,,,,27.67,,,,
AUS,Australia,21.81,23.47,23.83,24.03,24.39,24.78,24.06,24.04,24.04,24.48,24.94,25.73,25.72,26.41,27.15,27.79,28.34,29.95,30.06,31.09,33.43,32.88,32.86,33.53,34.31,34.89,35.67,36.78,37.6,38.5,41.29,
AUT,Austria,29.91,30.81,32.17,33.02,34.03,34.93,35.62,36.38,37.64,37.61,38.49,39.62,40.34,41.17,42.1,43.36,44.68,45.53,46.17,47.06,48.02,48.4,48.86,49.74,50.36,51.04,51.23,51.7,52.11,52.73,52.93,
AZE,Azerbaijan,37.96,38.23,37.71,38.02,37.51,37.58,37.17,36.43,35.64,35.37,35.74,35.48,35.62,35.51,35.57,35.82,35.65,37.12,36.84,36.75,36.63,34.38,34.9,34.56,34.46,33.73,33.06,32.37,32.65,31.68,,
BDI,Burundi,,,,,,,,,,,,,,,0.28,,,,,,0.48,0.4,0.54,0.58,0.62,0.5,,1,0.97,,0.72,
BEL,Belgium,32.53,33.14,33.81,34.33,34.94,35.26,35.9,36.63,37.23,27.93,28.2,28.4,28.5,28.45,28.52,28.52,28.66,28.86,29.02,29.08,29.09,29.22,29.39,29.59,29.72,30.14,30.68,30.71,31.15,31.5,60.79,
BEN,Benin,,,,,,,,,,,,,,,0.4,,,,0.62,,0.56,0.58,,,,,0.48,,0.79,0.65,,
BFA,Burkina Faso,,,,,,,,,,,,,,,0.54,,,,0.32,0.45,0.46,0.39,0.48,0.47,0.49,0.66,0.65,0.85,0.85,0.94,,
BGD,Bangladesh,,,,,,,,,,,,2.5,,2.71,2.81,3.08,3.17,3.29,3.42,3.54,3.64,3.84,4,4.22,4.89,4.86,4.97,5.43,5.81,6.37,6.67,
