Country.Code,TableName,Dr_per_10000,gdp_per_capita,health_exp_per_capita,hos_bed_per_1000,Lung_cancer_death_rate
AFG,Afghanistan,2.13,2152.190243,285.558136,0.432222222,3.922006021
AGO,Angola,1.555,6995.299736,178.026062,0.8,4.970888098
ALB,Albania,16.47,13999.42397,575.5789693,3.052307692,40.57191688
ARE,United Arab Emirates,26.01,71144.71598,2996.363281,1.668888889,5.352833614
ARG,Argentina,40.69,22997.39176,2198.880371,4.61,30.88428525
ARM,Armenia,28.85846154,14230.01487,1616.177856,4.319375,45.10218654
ATG,Antigua and Barbuda,16.69333333,22772.30934,1016.470825,2.580625,9.267363435
AUS,Australia,38.5,51748.39772,5294.462891,3.86375,39.55728483
AUT,Austria,52.73,58076.3488,6134.131348,7.650526316,47.43285976
AZE,Azerbaijan,31.68,15051.56128,605.9345093,7.016,22.90438129
BDI,Burundi,0.596666667,783.1577656,61.79641724,1.13,2.792574908
BEL,Belgium,31.5,54278.38945,5846.896484,5.58,68.7267277
BEN,Benin,0.65,3426.049089,81.98957825,0.5,4.304664859
BFA,Burkina Faso,0.94,2267.320963,122.4075089,0.65,4.468199827
BGD,Bangladesh,6.37,5784.269636,123.2870026,0.528571429,6.114832269
BGR,Bulgaria,38.18846154,24497.62727,1797.512329,6.755,66.05730902
BHR,Bahrain,9.741666667,47224.23713,1880.575073,2.302777778,8.652395495
BHS,"Bahamas, The",23.34,38063.81604,2227.64209,3.123750006,14.37792373
BIH,Bosnia and Herzegovina,18.0225,15711.2377,1476.801392,3.327333333,72.4023462
BLR,Belarus,45.38,20092.88037,1198.621094,11.384,37.61243123
BLZ,Belize,10.28,7454.532388,445.7180176,1.21933333,9.478648703
BOL,Bolivia,7.716,9092.687044,630.7590942,1.117692308,10.5705656
BRA,Brazil,23.11,15358.08949,1497.814697,2.395294118,17.52527093
BRB,Barbados,21.29,16153.97126,1028.8302,6.571538462,16.723515
BRN,Brunei Darussalam,13.95230769,64718.8325,1400.913574,2.601333333,23.77127876
BTN,Bhutan,4.6,12365.51384,432.1348267,1.688,5.765999995
BWA,Botswana,3.704545455,17096.78778,1122.141968,2.05,12.93569527
CAF,Central African Republic,0.632,985.9877166,78.4431076,1.1,6.090391954
CAN,Canada,24.43,49299.21177,5520.651367,2.52,63.9659926
CHE,Switzerland,43.42,72033.92944,8532.496094,5.255789474,44.67492607
CHL,Chile,26.61,25322.71106,2424.14917,2.285789474,21.13229529
CHN,China,22.27,16652.0988,880.1912842,2.547222222,53.78609052
CIV,Côte d'Ivoire,1.62,5432.547727,179.5517883,0.4,5.101772189
CMR,Cameroon,0.97,3900.822515,136.2372742,1.4,6.210295124
COD,"Congo, Dem. Rep.",1.86,1144.287321,40.61373901,0.95,4.970586205
COG,"Congo, Rep.",1.455714286,3987.163642,81.69192505,1.6,7.843131424
COL,Colombia,22.52,15673.09435,1204.297729,1.426153848,12.61038983
COM,Comoros,2.014,3188.083106,168.644043,2.18,4.348383048
CPV,Cabo Verde,6.48875,7474.510419,369.683197,2.1,13.81978994
CRI,Costa Rica,24.81,22632.44207,1636.182373,1.1,9.747281905
CYP,Cyprus,31.44,42338.87891,3017.266602,3.800555556,38.54580527
CZE,Czech Republic,40.6,42847.00474,3477.025879,7.192631579,58.45273602
DEU,Germany,43.72,55652.88749,6738.67041,8.413888889,64.94894237
DJI,Djibouti,2.0075,5482.012136,104.1417923,1.531333333,6.471115713
